,speaker,text
0,lex fridman, the following is a conversation with lisa randall a theoretical physicist and cosmologist at harvard her work involves improving our understanding of particle physics supersymmetry baryogenesis cosmological inflation and dark matter
1,lex fridman, this is the lex friedman podcast to support it please check out our sponsors in the description now dear friends heres lisa randall
2,lex fridman,dark matter
3,lex fridman, one of the things you work on and write about is dark matter we cant see it but theres a lot of it in the universe you also end one of your books with a beatles song quote got to be goodlooking because hes so hard to see what is dark matter how should we think about it given that we cant see it how should we visualize it in our minds eye
4,lisa randall, i think one of the really important things that physics teaches you is just our limitations but also our abilities the fact that we can deduce the existence of something that we dont directly see is really a tribute to people that we can do that its also something that tells you you cant overly rely on your direct senses if you just relied on just what you see directly you would miss so much of whats happening in the world
5,lisa randall, we can generalize this but just for now to focus on dark matter its something we know is there and its not just one way we know its there in my book dark matter and the dinosaurs i talk about the many different ways theres eight or nine that we deduce not just the existence of dark matter but how much is there and they all agree
6,lisa randall, now how do we know its there because of its gravitational force individually a particle doesnt have such a big gravitational force in fact gravity is an extremely weak force compared to other forces we know about in nature but theres a lot of dark matter out there it carries a lot of energy five times the amount of energy as the matter we know thats in atoms et cetera
7,lisa randall, you can ask how should we think about it its just another form of matter that doesnt interact with light or at least as far as we know it interacts gravitationally it clumps it forms galaxies but it doesnt interact with light which means we just dont see it most of our detection before gravitational wave detectors we only saw things because of their interactions with light in some sense
8,lex fridman, in theory it behaves just like any other matter it just doesnt interact with light
9,lisa randall, when we say it interacts just like any other form of matter we have to be careful because gravitationally it interacts like other forms of matter but it doesnt experience electromagnetism which is why it has a different distribution
10,lisa randall, in our galaxy its roughly spherical unless it has its own interactions thats another story we know that its roughly spherical whereas ordinary matter can radiate and clumps into a disk thats why we see the milky way disk on large scales in some sense yes all the matter is similar in some sense
11,lisa randall, in fact dark matter is in some sense more important because it can collapse more readily than ordinary matter because ordinary matter has radiative forces which makes it hard to collapse on small scales actually its dark matter that drives galaxy formation and then ordinary matter comes along with it
12,lisa randall, theres also just more of it and because theres more of it can start collapsing sooner that is to say the energy density in dark matter dominates over radiation earlier than you would if you just had an ordinary matter
13,lex fridman, its part of the story of the origin of the galaxy part of the story of the end of the galaxy and part of the story of all the various interactions throughout
14,lisa randall, exactly in my book i make jokes about its like when we think about a building we think about the architect we think about the high level but we forget about all the workers that did all the grunt work in fact dark matter was really important in the formation of our universe and we forget that sometimes
15,lex fridman, thats a metaphor on top of a metaphor okay the unheard voices that do the actual work
16,lisa randall, exactly no but it is a metaphor but it also captures something because the fact is we dont directly see it so we forget its there or we dont understand its there or we think its not the fact that we dont see it makes it no less legitimate it just means that we have challenges in order to find out exactly what it is
17,lex fridman, yeah but the things we cannot see that nevertheless have a gravitational interaction with the things we cant see is at the layman level its just mindblowing
18,lisa randall, it is and it isnt because i think what its teaching us is that were human the universe is what it is and were trying to interact with that universe and discover what it is weve discovered amazing things
19,lisa randall, in fact i would say its more surprising that the matter that we know about is constitutes as big a fraction of the universe as it does were limited were human the fact that we see  of the energy density of the universe about one sixth of the energy density in matter thats remarkable why should that be anything could be out there yet the universe that we see is a significant fraction
20,lex fridman, yeah but a lot of our intuition i think operates using visualizations in the mind
21,lisa randall, thats absolutely true certainly writing books i realized also how many of our words are based on how we see the world and thats true thats actually one of the fantastic things about physics is that it teaches you how to go beyond your immediate intuition to develop intuitions that apply at different distances different scales different ways of thinking about things
22,lex fridman, yeah how do you anthropomorphize dark matter
23,lisa randall, i just did i think i made it the grunt workers
